iter	RMSE
0	22432.68695
1	21947.07347
2	21524.4085
3	21110.00453
4	20733.58524
5	20366.46119
6	19993.98509
7	19637.68618
8	19284.67031
9	19004.28865
10	18705.11684
11	18440.10276
12	18226.987
13	18008.34068
14	17751.01069
15	17497.81442
16	17307.423
17	17127.80487
18	16919.71826
19	16740.5412
20	16554.60343
21	16400.58281
22	16244.87777
23	16089.90794
24	15931.41198
25	15835.46557
26	15722.48424
27	15605.65402
28	15502.57528
29	15416.80653
30	15346.12659
31	15250.30191
32	15168.40505
33	15092.70704
34	14997.60905
35	14935.5529
36	14870.25286
37	14816.80292
38	14763.58948
39	14665.04831
40	14578.67143
41	14481.92071
42	14435.53964
43	14352.20321
44	14318.89478
45	14255.04836
46	14206.60983
47	14158.81982
48	14110.94259
49	14035.52542
50	13983.28871
51	13942.91188
52	13900.96784
53	13863.75363
54	13839.99205
55	13786.77825
56	13715.99278
57	13675.91077
58	13621.80334
59	13574.8187
60	13542.64098
61	13499.28815
62	13460.07419
63	13446.40332
64	13413.52183
65	13355.12278
66	13330.28316
67	13308.70212
68	13294.7528
69	13244.47865
70	13237.8099
71	13210.36807
72	13201.8251
73	13177.1382
74	13132.93314
75	13112.21323
76	13093.94679
77	13087.42098
78	13073.52845
79	13071.72985
80	13054.13301
81	13047.97781
82	13035.27368
83	13010.21292
84	13003.00229
85	12982.20044
86	12957.74352
87	12956.51506
88	12916.1575
89	12902.44698
90	12887.91007
91	12874.35547
92	12856.31279
93	12845.14326
94	12804.96224
95	12781.25497
96	12779.9116
97	12772.49984
98	12736.18579
99	12710.21095
100	12698.74487
101	12697.60815
102	12691.54103
103	12684.5015
104	12680.34575
105	12648.49625
106	12617.73367
107	12603.57037
108	12594.86304
109	12582.47704
110	12571.4539
111	12554.21125
112	12546.22958
113	12525.21309
114	12509.64962
115	12490.95464
116	12469.77896
117	12466.39779
118	12453.59156
119	12448.16612
120	12445.60813
121	12438.73467
122	12424.58729
123	12422.78701
124	12420.26695
125	12418.52772
126	12413.04516
127	12410.55974
128	12402.82966
129	12387.05573
130	12386.19258
131	12378.01599
132	12376.63677
133	12373.53369
134	12365.47882
135	12363.91323
136	12357.94555
137	12334.93853
138	12332.81876
139	12330.59304
140	12323.5796
141	12314.24167
142	12308.17101
143	12303.8697
144	12292.29403
145	12291.3365
146	12282.60054
147	12277.92803
148	12276.3285
149	12272.43966
150	12267.11355
151	12257.93259
152	12256.46618
153	12221.65861
154	12199.40281
155	12198.0607
156	12194.70592
157	12188.78035
158	12180.88382
159	12162.16721
160	12156.53998
161	12155.68526
162	12140.58808
163	12138.45779
164	12124.73828
165	12124.71706
166	12121.56022
167	12118.41121
168	12112.7465
169	12109.18834
170	12106.29713
171	12105.35224
172	12096.31692
173	12089.05011
174	12087.0906
175	12056.24483
176	12055.97011
177	12052.85229
178	12038.09508
179	12028.17267
180	12025.67286
181	12016.03374
182	12009.0638
183	12007.22423
184	11989.83981
185	11983.17334
186	11982.30392
187	11969.36156
188	11967.88617
189	11937.13231
190	11932.29242
191	11931.53536
192	11904.14904
193	11896.70454
194	11895.67933
195	11886.93359
196	11882.61165
197	11882.50951
198	11881.45251
199	11868.63799
200	11864.07166
201	11859.21672
202	11841.67343
203	11835.0318
204	11824.96864
205	11823.91486
206	11799.2906
207	11789.52181
208	11777.98084
209	11775.63033
210	11765.52156
211	11761.99836
212	11759.14168
213	11757.99695
214	11752.62478
215	11747.50303
216	11745.70109
217	11744.84504
218	11727.6462
219	11707.79951
220	11694.14069
221	11687.99201
222	11672.56766
223	11671.14399
224	11664.94913
225	11662.89849
226	11652.32196
227	11643.01195
228	11638.26643
229	11636.10138
230	11624.70195
231	11624.14333
232	11601.99567
233	11592.49544
234	11579.25981
235	11577.76609
236	11569.91469
237	11568.84671
238	11563.02049
239	11561.60127
240	11560.16066
241	11559.72337
242	11549.22634
243	11547.57349
244	11542.92568
245	11532.47187
246	11524.77268
247	11523.76264
248	11507.53751
249	11502.97425
250	11493.05495
251	11482.1276
252	11480.60926
253	11477.24708
254	11476.76433
255	11474.01352
256	11463.4193
257	11443.85037
258	11443.21759
259	11433.14343
260	11428.94406
261	11421.92124
262	11421.27992
263	11420.3733
264	11417.13536
265	11401.74874
266	11400.50039
267	11398.05613
268	11385.00367
269	11384.23924
270	11383.13536
271	11382.24471
272	11380.0335
273	11370.41846
274	11366.33318
275	11365.11727
276	11361.07532
277	11357.06984
278	11355.87277
279	11345.74017
280	11345.05173
281	11335.20149
282	11331.56192
283	11324.97919
284	11323.90526
285	11318.92863
286	11317.57114
287	11314.0714
288	11312.58406
289	11308.04506
290	11306.50493
291	11303.51155
292	11302.53539
293	11298.34196
294	11294.99684
295	11290.24953
296	11283.62644
297	11283.24189
298	11278.30644
299	11263.89144
300	11259.73867
301	11257.16926
302	11253.32128
303	11245.27492
304	11232.0675
305	11229.00108
306	11227.52752
307	11210.34347
308	11205.28926
309	11197.85353
310	11187.63305
311	11185.83935
312	11182.3972
313	11177.40828
314	11166.35937
315	11165.95289
316	11164.40259
317	11158.45799
318	11157.64119
319	11150.27364
320	11149.49286
321	11148.3307
322	11147.61361
323	11139.37107
324	11136.8279
325	11136.02281
326	11126.47031
327	11126.05507
328	11125.39491
329	11118.12448
330	11103.51939
331	11102.30657
332	11098.25901
333	11089.83978
334	11080.82329
