iter	Passed	Remaining
0	194	116400
1	228	68227
2	262	52278
3	295	43972
4	328	39089
5	362	35936
6	397	33715
7	435	32202
8	470	30889
9	497	29336
10	531	28462
11	566	27745
12	608	27494
13	647	27117
14	687	26825
15	727	26557
16	770	26427
17	816	26399
18	861	26355
19	899	26097
20	936	25811
21	975	25635
22	1019	25570
23	1071	25707
24	1123	25837
25	1168	25791
26	1207	25623
27	1249	25525
28	1285	25307
29	1321	25116
30	1353	24837
31	1385	24588
32	1418	24366
33	1450	24153
34	1484	23958
35	1514	23732
36	1546	23531
37	1579	23362
38	1612	23189
39	1644	23025
40	1677	22872
41	1711	22734
42	1745	22613
43	1776	22451
44	1811	22343
45	1843	22200
46	1876	22077
47	1911	21979
48	1944	21866
49	1977	21749
50	2010	21647
51	2043	21536
52	2076	21434
53	2110	21341
54	2144	21252
55	2176	21145
56	2214	21100
57	2260	21126
58	2302	21110
59	2348	21136
60	2385	21079
61	2420	21005
62	2453	20911
63	2479	20768
64	2511	20670
65	2544	20585
66	2575	20487
67	2607	20401
68	2638	20304
69	2672	20234
70	2706	20167
71	2742	20108
72	2779	20067
73	2812	19993
74	2845	19919
75	2878	19844
76	2909	19763
77	2941	19684
78	2972	19601
79	2992	19450
80	3023	19373
81	3055	19304
82	3088	19236
83	3119	19160
84	3151	19096
85	3184	19034
86	3217	18972
87	3232	18809
88	3264	18743
89	3298	18691
90	3329	18621
91	3361	18560
92	3395	18512
93	3432	18477
94	3471	18452
95	3520	18483
96	3538	18349
97	3575	18316
98	3609	18268
99	3640	18202
100	3671	18138
101	3691	18025
102	3723	17967
103	3754	17908
104	3781	17825
105	3813	17771
106	3847	17727
107	3879	17671
108	3909	17610
109	3941	17557
110	3973	17506
111	4006	17456
112	4038	17406
113	4070	17352
114	4101	17298
115	4133	17248
116	4167	17203
117	4198	17149
118	4228	17092
119	4261	17047
120	4288	16974
121	4318	16919
122	4350	16871
123	4371	16780
124	4407	16748
125	4437	16691
126	4469	16645
127	4500	16594
128	4532	16548
129	4563	16500
130	4587	16422
131	4636	16439
132	4687	16460
