location,km,annee,marque,model,date,price,carburant,puissance,boite,cylindre,region,city
"Ben arous, Ezzahra",1.0,2021.0,Volkswagen,Polo,14 mars 2021,12500.0,Diesel,4.0,Jaune,Compacte,Ben arous,Ezzahra
"Tunis, Tunis",180000.0,2008.0,Opel,Astra,14 mars 2021,21500.0,Diesel,1.0,Noir,Berline,Tunis,Tunis
"Monastir, Autres villes",200000.0,1999.0,Renault,12,14 mars 2021,111111.0,Essence,4.0,Blanc,Autres,Monastir,Autres villes
"Tunis, Autres villes",29000.0,2019.0,Volkswagen,Polo,14 mars 2021,45000.0,Essence,5.0,Nouveau,Manuelle,Tunis,Autres villes
"Tunis, Autres villes",122.0,2013.0,Peugeot,208,13 mars 2021,26800.0,Essence,5.0,Marron,Compacte,Tunis,Autres villes
"Sfax, Autres villes",315000.0,2000.0,Peugeot,406,13 mars 2021,17000.0,Essence,7.0,Gris,Berline,Sfax,Autres villes
"Tunis, La Marsa",233.0,2012.0,Nissan,Navara,13 mars 2021,45500.0,Diesel,8.0,Gris,4 x 4,Tunis,La Marsa
"Sousse, Hammam Sousse",270.0,2010.0,Citroen,C5,13 mars 2021,26500.0,Diesel,6.0,Noir,Berline,Sousse,Hammam Sousse
"Tunis, Autres villes",200000.0,2010.0,Mercedes-Benz,300,13 mars 2021,80000.0,Essence,300.0,Blanc,Autres,Tunis,Autres villes
"Tunis, Autres villes",110.0,2010.0,Citroen,C4 Picasso,13 mars 2021,23000.0,Essence,7.0,Noir,Autres,Tunis,Autres villes
"Tunis, Autres villes",165.0,2004.0,Fiat,Palio,13 mars 2021,13000.0,Essence,4.0,Bleu,Manuelle,Tunis,Autres villes
"Ariana, Ariana Ville",165000.0,2010.0,Ford,Fiesta,13 mars 2021,24000.0,Essence,5.0,Bleu,Compacte,Ariana,Ariana Ville
"Sfax, Autres villes",90000.0,2016.0,Mazda,2,13 mars 2021,45000.0,Essence,6.0,Blanc,Autres,Sfax,Autres villes
"Zaghouan, Autres villes",263.0,2002.0,Volkswagen,Golf 4,13 mars 2021,21500.0,Essence,5.0,Gris,Berline,Zaghouan,Autres villes
"Ben arous, Mégrine",1000.0,2021.0,Volkswagen,Golf 7,13 mars 2021,1450.0,Essence,4.0,Gris,Berline,Ben arous,Mégrine
"Ariana, Autres villes",230000.0,2011.0,Ford,Focus,13 mars 2021,21000.0,Essence,6.0,Noir,Berline,Ariana,Autres villes
"Ben arous, Autres villes",18000.0,2016.0,BMW,Serie 5,13 mars 2021,180000.0,Essence,15.0,Blanc,Berline,Ben arous,Autres villes
"Nabeul, Autres villes",190000.0,1997.0,Volkswagen,Vento,13 mars 2021,9000.0,Diesel,6.0,Blanc,Compacte,Nabeul,Autres villes
"Bizerte, Mateur",290000.0,2005.0,Fiat,Uno,13 mars 2021,7000.0,Essence,5.0,Manuelle,1.2,Bizerte,Mateur
"Siliana, Siliana",45000.0,2013.0,Volkswagen,Golf 7,13 mars 2021,65000.0,Diesel,5.0,Argent,Avec kilométrage,Siliana,Siliana
"Tunis, Centre Ville - Lafayette",28000.0,2019.0,Renault,Koleos,13 mars 2021,45000.0,Essence,12.0,Gris,Autres,Tunis,Centre Ville - Lafayette
"Tunis, Autres villes",70.0,2019.0,Peugeot,Partner,13 mars 2021,15000.0,Diesel,5.0,Noir,Compacte,Tunis,Autres villes
"Sfax, Route el Afrane",172000.0,2010.0,Audi,A3,13 mars 2021,36000.0,Diesel,5.0,Bleu,Berline,Sfax,Route el Afrane
"Tunis, El Kabaria",413000.0,2005.0,Renault,Clio,13 mars 2021,17000.0,Essence,5.0,Noir,Compacte,Tunis,El Kabaria
"Ariana, Autres villes",238000.0,2008.0,Citroen,C5,13 mars 2021,22500.0,Diesel,6.0,Gris,Autres,Ariana,Autres villes
"Tunis, Autres villes",225.0,2013.0,Citroen,Berlingo,13 mars 2021,27000.0,Diesel,5.0,Argent,Utilitaire,Tunis,Autres villes
