location,km,annee,marque,model,date,price,carburant,puissance,boite,cylindre,region,city
"Tunis, Menzah",110000.0,2007.0,Opel,Astra,11 mars 2021,30500.0,Diesel,5.0,Rouge,Compacte,Tunis,Menzah
"Tunis, Autres villes",152.0,2010.0,Citroen,C5,13 mars 2021,29000.0,Diesel,6.0,Noir,Autres,Tunis,Autres villes
"Ben arous, Boumhel",240.0,2008.0,Volkswagen,Passat,6 février 2021,28500.0,Diesel,6.0,Noir,Berline,Ben arous,Boumhel
"Tunis, Autres villes",420000.0,2008.0,Citroen,Berlingo,7 février 2021,14300.0,Diesel,6.0,Blanc,Avec kilométrage,Tunis,Autres villes
"Tunis, Ettahrir",177000.0,2010.0,Citroen,Jumpy,23 février 2021,24500.0,Diesel,5.0,Blanc,Autres,Tunis,Ettahrir
"Tunis, Autres villes",190.0,2010.0,Ford,Focus,26 février 2021,19500.0,Essence,6.0,Noir,Berline,Tunis,Autres villes
"Ben arous, Mégrine",267247.0,2013.0,Volkswagen,Polo,22 février 2021,26000.0,Essence,5.0,Blanc,Avec kilométrage,Ben arous,Mégrine
"Nabeul, Autres villes",260000.0,2009.0,Citroen,Berlingo,17 février 2021,20500.0,Diesel,5.0,Blanc,Manuelle,Nabeul,Autres villes
"Nabeul, Autres villes",200.0,2014.0,Volkswagen,Golf 7,10 mars 2021,49500.0,Diesel,5.0,Noir,Avec kilométrage,Nabeul,Autres villes
"Nabeul, Nabeul",110.0,2018.0,Ssangyong,Family,6 février 2021,65000.0,Essence,8.0,Autre,4 x 4,Nabeul,Nabeul
"La manouba, Autres villes",238000.0,2012.0,Isuzu,D-MAX,8 mars 2021,47000.0,Diesel,10.0,Rouge,Pick up,La manouba,Autres villes
"Le kef, Sakiet Sidi Youssef",38700.0,1995.0,Hyundai,Accent,5 mars 2021,5800.0,Essence,5.0,Noir,Berline,Le kef,Sakiet Sidi Youssef
"Sfax, Sfax",198000.0,2016.0,Audi,Q3,10 mars 2021,100000.0,Essence,8.0,Noir,Avec kilométrage,Sfax,Sfax
"Kasserine, Foussana",388000.0,1998.0,Mercedes-Benz,220,9 mars 2021,18000.0,Diesel,10.0,Noir,Avec kilométrage,Kasserine,Foussana
"Bizerte, Autres villes",37000.0,2019.0,Kia,Picanto,26 février 2021,34700.0,Essence,4.0,Noir,Berline,Bizerte,Autres villes
"Mahdia, Autres villes",200000.0,1998.0,Mercedes-Benz,Classe E,16 février 2021,12000.0,Diesel,8.0,Blanc,Berline,Mahdia,Autres villes
"Tunis, Autres villes",485.0,2004.0,Peugeot,206,23 février 2021,8500.0,Diesel,4.0,Gris,Compacte,Tunis,Autres villes
"Monastir, Ksibet el-Médiouni",12345.0,2020.0,Renault,R5,12 mars 2021,3800.0,Essence,4.0,Manuelle,&lt;1.0,Monastir,Ksibet el-Médiouni
"Sousse, Sahloul",82000.0,2016.0,Kia,Picanto,15 février 2021,31000.0,Essence,1.0,Rouge,Compacte,Sousse,Sahloul
"Béja, Autres villes",220000.0,2000.0,Alfa Romeo,156,8 février 2021,13200.0,Essence,7.0,Noir,Berline,Béja,Autres villes
"Ariana, Autres villes",199000.0,2008.0,Citroen,C3,9 mars 2021,20000.0,Essence,5.0,Rouge,Compacte,Ariana,Autres villes
"Ben arous, Medina Jedida",0.0,1992.0,Toyota,Land Cruiser,2 mars 2021,5900.0,Diesel,10.0,Vert,4 x 4,Ben arous,Medina Jedida
"Tunis, La Marsa",75000.0,2012.0,Citroen,DS3,6 mars 2021,31000.0,Essence,5.0,Blanc,Compacte,Tunis,La Marsa
"Ben arous, Autres villes",2222.0,2002.0,Opel,Corsa,3 mars 2021,11500.0,Essence,4.0,Bleu,Compacte,Ben arous,Autres villes
"Nabeul, Menzel Temime",180000.0,2013.0,Volkswagen,Golf 7,12 mars 2021,47500.0,Essence,5.0,Manuelle,1.2,Nabeul,Menzel Temime
"Sidi bouzid, Bir El Hafey",132.0,2016.0,Renault,Symbol,12 mars 2021,26200.0,Essence,5.0,Gris,Berline,Sidi bouzid,Bir El Hafey
"Sfax, Sfax Ville",99.0,2014.0,Ford,Focus,19 février 2021,35000.0,Essence,7.0,Noir,Berline,Sfax,Sfax Ville
